type;carrier;tech;region;year;from_bus;to_bus;name
conversion;carrier;tech;DE;[2021, 2024, 2027, 2030, 2035, 2040, 2045, 2050, 2060, 2070];ch4;electricity;helper_pow_ind_grid_elec--41
