type;carrier;tech;region;year;from_bus_0;to_bus_0;to_bus_1;name;groups
mimo;generic_commodity;tech;De;[2021, 2024, 2027, 2030, 2035, 2040, 2045, 2050, 2060, 2070];generic_commodity;sec_elec;emi_co2_f_pow;helper_import_electricity_from_plug--36;{}
